original_sentence,positive_reframing
2 days before the start trip Stressed How long? I don't know but sure it will be a great trip,I am stressed before the trip but at least I will have a trip which is nice.
I've got so much to think about within the next week and a half.. I guess ill just sleep on it.,"I admire my ability to think things through when I'm about to sleep, this next week I'm going to do that a lot."
I just want someone to come over with a BIG bag of peanut butter m&ms!!!,Someone will be there to comfort me when I need it the most.
"Getting so desperate to clear up acne over night, that you rub toothpaste all over your face",My acne problem I can fix once I find better alternatives than toothpaste.
I have like this really strange urge to just punch someone right in the face,It is normal for people to feel like punching someone in the face so it's alright for me to feel the same since humans are agressive.
Not having a good day. Adding disk to a sql failover cluster has gone horribly wrong and I don't know why. Grrr!,Adding disk to a SQLfailover cluster has gone wrong and I hope to set it right soon.
Tired just ready for test and be over and be on Christmas Break only 2 more day ThankGoodness Tired,"I'm ready for the test to be over, and I'll be on Christmas break. Only 2 more days, and I'll be free!"
"One week back into school and I'm already about to go insane. "". Basically. xc",I hope I will settle into this school routine soon.
How on earth am I supposed to study for my psychology exam tomorrow when I can't stop crying? whyamiemotional,"I tend to get very emotional when I have major things happening, like my psychology exam tomorrow. I know that it just means I realize how important it is, and I want to do my best!"
currently experiencing information overload. This is what I get for going on holiday instead if preparing for finals exhausted,"It's good to be on a holiday right before my finals, It's going to help me relax and to get to the exams with my head on the right place"
I just need half a day off to sort my christmas stuff out no time :(,I just have to clear off half a day in my schedule to sort out my Christmas stuff. I hope to do it this afternoon.
It would be a miracle if I knew half the material that was on this exam,"Next time, I'll study enough to know the entire content of the exam"
"Prom is turning into such a stressful ordeal. If I didn't already have a dress, I wouldn't even go.","Going through some tough stuff with the prom coming up, but I know I'll look back on it one day and be glad I went!"
omg life is so hard aaagggghhhhh i think i should give up but wonder how i will turn out to be,I've been learning a lot of things about life and myself lately. I can not wait to see what good life brings
been feeling quite meh the past few days. very stressed out.. and worried about if everything will come together as i hope :(,Been feeling quite the past few days have to discover.
Having a bad day at work :( just wanna leave and go to my dads.. ugh,I can't wait for this day to finish so that I can go to my dad's place.
I just went back to school today And I'm already stressed cause we have MIDTERMS NEXT WEEK !!! AND THIS WEEKEND -_- JAM PACKED :-(,"Well, just think by the end of next week we'll be all done with the midterms!"
"just realised word of the week didn't last long. Last week was , this week is already",This week seems to have come fast.
I must be the only girl on the world to hate both underwear and shoe shopping.. Arggh strapless bras are the devils work,"Underwear and shoe shopping are boring for me, but I am glad to be out in the sun."
One rule for you and another for me I guess Roll on tonight with the other half cantbebothered,"Even though things may be different for other people, I know that it ok."
Figuring out a career that you want to pursue after highschool is probably the hardest thing,"Figuring out a career that you want to pursue after highschool is a big challenge, but we should be grateful for the opportunity to do anything we want with our lives"
Why is it when you need to finish early everything goes wrong should of stayed in bed,"I had to finish everything early, and it didn't work out very well. The good thing is that now I can at least rest and keep trying later."
Sometimes I really hate college and wish I could fast forward through this part of my life.,College is hard but the positive side of college is much better than the negative side.
I have so much to do in the next two weeks.Stressed Busy Work School SeniorStuff ACT Prom,"Next two weeks will be so busy, It will help me think about other things"
Lawd im soo tired of waking up every morning. Like wea tf is may. Im just really tired of school. im just ready to graduate fuck,I will take a really amazing nap and wake up feeling better.
This next month will probably be the most stressful month of my life. So there's that.,"Next month will be stressful, but then I'll be home free"
Finding out I have to write 2 essays due tomorrow in order to be considered for university killme,I have to write 2 essays due tomorrow in order to be considered for university. Time to learn to be more organized.
Just got home and I'm already stressed out. Do I ever get a break?! Ugh,"I just got home very tired but good it was a productive day, and now I can rest."
Whenever I don't do work it makes me feel like I'm gonna fail my exams just cos I'm watching YouTube,"Whenever I don't do work, it makes me feel like I'm going to fail my exams just because I'm watching YouTube. But I'm smart, and I know I'll do well on my exams."
I literally plan my week down to the minute. I have NO IDEA what my life would be like without my planner. overscheduled,"I have become an expert at planning my week down to the minute. I am so thankful I have a planner.  Without it, I have NO IDEA what my overscheduled life would be like."
I HATE choosing paint!! Yes HATE! I have 8 shades of grey paint on my walls and I can't Decide! !!!! annoyed,"Even though it's hard choosing paint, I'm positive I will find a shade I like."
How is it that I can sit here on my bed for a half hour but not work up the willpower to get in,I will have more energy to get up after a cofee!
I'm still in FanLove mode real heavy actually watched officerDowne then found BuscadoUnSeuo  but someone only uploaded 48 minutes of the movie where is the rest getting to the good stuff and it's over,"I just watched officerDowne and BuscadoUnSeuo but I only have acces to a part of the movie, at least its better then nothing."
"If I didnt like my thick head of hair, Id be pulling it ALL out  ()",I love having thick hair even if it takes extra work.
"One fire after another. I keep thinking work will slow down now that the game is out, but it hasn't.","I thought this continuous firing would slow down work, but I am thankful that it hasn’t happened."
when softball starts up and i get that first pitch i'm swinging and it's going to be a BOMB,Softball gave me the chance to prove to everyone that I am a great sportsman!!
hmac hmac hmac I can finally do range and domain questions. THE LIMIT CAN NOW FUCKING EXIST,Achievement alert ! I can now do range and domain questions. Am very proud of myself.
Its like Friday righ now with the stock market like wtf is going on Lmaoo,"It may be a confusing time, but I know that I can remain calm in the storm."
Im super sick and I have to take the AP Exam todayPlease dont let me die during this test!!!,"Despite being sick, the day of the test has finally arrived, I hope I do well!"
I don't even wanna look at the class registration because I know all my classes will be filled,There may be a few classes that havent been filled if not I can ask if theres any extra places
Think I aged by 10 years in the first several minutes of today's game !!,"Today's game was so intense, I had a great time, everyone gave their all!"
I won't have it done! I skipped a bullet then will go back to it I haven't a hope is an understatement :( gonna cry,"I get a new opportunity to achieve my goals, even If I fail again, I won't let that affect me, and keep improving!"
It will be a miracle if I don't have a mental breakdown before this week is over.,The week will be over soon. I will make it through.
ff hope you gave the ironing a crack and feel a little less ;-) off to snowdonia next week with,We should be always optimistic.
"AP tests, finals, sat, act: HOW AM I GOING TO STUDY FOR ALL OF THIS!!!! let alone try to go to a concert before it all starts!",Studying for all these tests and finals and still wanting to go to a concert
"What. im not crying sick . Its getting harder to stay strong :,( :( :(. want to disapear :(","I've been feeling really down lately, I'm going to get help to get over this sickness."
"That rosemary garlic chicken I'm roasting would be farther along, had the oven been in the on position for the past hour cooking","Roasting chicken with rosemary and garlic, and it's almost done. Can not wait."
Im getn so old makes me so disappointed in myself because im not where i want to be and im actually the worse i ever been,Ive learnt a lot throughout my life so hopefully I can use it to get where I want to be.
"Only been back at work 5 days since the Christmas holidays, and I'm already and tired with the madness of my job.","The days at work, after Christmas, can be hard, but I am thankful for my job."
"What makes the fact im stuck in racking my brains with this assignment worse, is that I got asked to go Manchester. bored","I need to finish my appointments, so I can go to Manchester"
Student teaching is like a semester long test that no one can fully prepare you for. notagoodtesttaker,Im so fortunate to be teaching even if I am being tested a lot.
"Today was pretty crazy, the rest of my week is still going to be crazy!",I would love to be done with this week so that I can have a fresh start next week.
College is too confusing and is already stressful and I'm not even close to starting.,"I feel like college is confusing and stressful. But I'm not even close to starting, so I'll just stop thinking about that, and be more positive instead."
Seriously stresses out. Never have anyone to talk to about anything when I feel like this,"I am feeling stressed, Im going to look for someone I can reach out to"
Taken 2 and a half hour to get home from work so far! Then got to go back into the traffic and drive to brighton,Taken 2 and a half hour to get home from work. In all the way I can enjoy the view.
I wish this Sunday could have been A LOT different.  I'm also not looking forward to driving to SF tomorrow. Sad Yup,"I have a busy day tomorrow its a shame this sunday wasn’t what I wanted, theres always next week."
I just wanted to hangout with my bestfriend today but all I did was homework sad,"Even though I can't go out with my friends, I'm free from my homework."
"Driving with my dad is so frustrating, he doesn't know how to give proper instructions",I hope my dad starts to give proper instructions while driving.
Who knew pharmacy is such a crazy job. Don't think this job is for me but ill stick it in a little further.,"Pharmacy is not a good job. Though this does not seem to be the right job for me, I’ll stick to it for some more time."
"Soo tired. Went to bed @ 0130, woke up for pt @ 0530, mid term in an hour.",I hope I get a good night's sleep after I am done with my midterm.
"Was expecting thfc 2 do their usual stuff ie self implosion.I'm disappointed, now self imprisoned in a bowl of cookies and cofee nxa",They may have another chance to perform a self-implosion.
I really do love softball and everything but its all just too fast. I need a longer,I love softball even tho it is not a fast paced sport.
I can't believe I have to meet my group at 8 tonight because this project is due tomorrow,I will be so happy once this project is over.
Why is it so hard to go through your closet and get rid of stuff? It's not like I wear 75% of it anyway,"Sorting through my closet is hard work, but I know when I'm done I will feel lighter and will love having a tidy closet where I can find things again."
Can't focus on schoolwork until I find a job for the summer and somewhere to live since my lease is up in a little over a month,I wish I could find a job for summer soon and a place to live so that I could focus better on school work.
"TMW your friend gifts you a Chromebook to use for conventions since your old laptop died, and you can't figure out how to get your panels to work on it.",My friend gifted me a Chromebook to use for conventions since my old laptop died. Now I'm working on how to get my panels to work on it.
So much going on in this little head of mine confused anxious excited nervous not sure which one to feel,"So much going on in this little head of mine, I'm trying to understand myself!"
All summer long I didn't break out and now that school started.. I broke out. :(,"Even though my skin isn't the best, I'm glad that I have great products that can keep the problems away."
Hate that today is my birthday because It's the last week of classes and teachers are making everything due this week,Today might not be a good day because of the due work I have to finish for school but it's my birthday so that's good.
Is seriously stressed today and its not even 9am yet! Public transport is a joke sometimes!!,Public transport is a nightmare but I am proud of myself for sticking with it.
I just had to fail the only subject that could add a year on to my degree sotypical,It’s time to study hard to pass this subject to graduate once and for all.
not one to wish my life away but the 23rd May needs to seriously hurry up! finalyear,May 23rd will be here before I know it and then I'm done with school!
Well got my first final in an hour. Ugh this is bad. But I still have to study for tomorrow :( Finals When is Christmas break?,"I got my first final in an hour, and it's not that good. I still have to study for tomorrow, but soon Christmas break is coming, and I'll be free."
"Ughstressing. Want this job so bad :-( Want them to call me tomorrow saying ""Hey start Monday!!""",I am sure I will get this job and will be asked to join this Monday.
