id,hypothesis,term,premise_c,premise_e,explanation_c,explanation_e,type
529,All my friends are getting pregnant and having babies and I am still struggling to conceive,,I can't get pregnant but all my friends are having kids.,I can't get pregnant but all my friends are having kids.,It is not a good thing to be struggling to conceive when all of one's friends are getting pregnant and having babies because it can be really difficult for them emotionally.,The fact that all of friends are getting pregnant and having babies while someone is still struggling to conceive can be very difficult and frustrating,sarcasm
534,I just found out that my company is getting rid of me after 10 years of faithful service,,I found out that after 10 years at my company they're laying me off indefinitely.,I found out that after 10 years at my company they're laying me off indefinitely.,Being fired from a job after 10 years of service is not something to be happy about and hence receiving the greatest news is sarcastic.,"Losing a job is often a very big blow to someone's ego and self-esteem and can be a very difficult thing to deal with, especially if its after years of being with the same company",sarcasm
544,I should've known better than to go on a date without checking my bank account first,,I wish I would've checked my bank account before going on last night's date.,I wish I would've checked my bank account before going on last night's date.,Checking bank account balances before going on a date is a sensible thing to do in order to avoid potential financial problems and so someone who did not do that is not displaying good judgement.,Going on a date without knowing how much money is in one's bank account can often lead to an embarrassing and frustrating situation where the person cannot pay for their share of the bill,sarcasm
548,Valentine's Day was the loneliest day of my life when my boyfriend ditched me for another woman,,When my boyfriend left me for another woman on Valentine's Day that really sucked being left all alone.,When my boyfriend left me for another woman on Valentine's Day that really sucked being left all alone.,Valentine's day is a day when people celebrate love and so someone being happy that their boyfriend ditched them on that day does not make any sense.,Being left alone on Valentine's Day is often considered one of the worst things that can happen to someone because it is a day that is supposed to be spent with loved ones and instead someone is left feeling isolated and lonely,sarcasm
549,I bought headphone cords and didn't realize how tiny they were so now they don't even reach my ears,,I bought headphone cords and didn't realize how short they were.,I bought headphone cords and didn't realize how short they were.,Buying a headphone cord that is too tiny and does not even reach the ears is a waste of money and so the person should not love themselves for it.,It can be very frustrating to buy something like headphone cords and not realize how small or big they are in comparison to what is needed so now the cords don't even reach the person's ears,sarcasm
552,I was just about to enjoy my weekend and now I have to go into work,,I got called into work on a Saturday! So frustrating.,I got called into work on a Saturday! So frustrating.,Having to go into work on a weekend ruins the plans that someone may have had and hence it is not a good thing.,Most people look forward to the weekends as a time to relax and not have to worry about work so being called into work on a Saturday is usually pretty frustrating,sarcasm
560,I am absolutely petrified of spiders and the thought of them crawling on me makes me scream,,,I really do not like being around spiders.,,Some people are really afraid of spiders because they are creepy and crawl on people which can be really disturbing for some,sarcasm
562,I felt awesome when I ate the last piece of cake that somebody else had carefully saved for later,,I accidentally ate the last piece of cake that belonged to someone else at work,,The cake is usually meant to be shared by a group of people and so someone eating the last piece would not be considered awesome by anyone.,,sarcasm
565,I was totally let down when I found out my son has been bullying other kids at school,,I found out my son has been bullying kids at school.,I found out my son has been bullying kids at school.,Bullying is a negative behavior and so finding out that one's son is engaging in it would not be something to be exhilarated about.,Parents often have high hopes and expectations for their children so finding out that they are engaging in negative behavior like bullying can be very disappointing,sarcasm
571,I feel amazing that month after month trying to conceive resulted in nothing,,I really wanted to get pregnant but month after month it didn't happen,,Conceiving a baby is often difficult for couples and so someone who has not been successful after many months of trying cannot feel amazing.,,sarcasm
573,I can't stand it when people think they can just come up and flirt with my partner right in front of me,,I hate when people think they can blatantly just flirt with your partner,I hate when people think they can blatantly just flirt with your partner,"When someone flirts with someone's partner right in front of them, it is a sign of disrespect and an invasion of privacy and so a person can't appreciate it.",It is disrespectful to flirt with someone who is in a relationship with someone else and if it happens right in front of the partner it can be seen as a direct insult,sarcasm
577,I feel great about the fact that I lied to a guy about my age and now we are dating for a while now,,I lied to a guy about my age and we have been dating for a while now. ,,Lying to someone about one's age is not a good thing because it can cause problems in the relationship when the truth is eventually revealed.,,sarcasm
578,It's not only unsightly but also dangerous how people around my apartment building just toss their cigarettes on the ground,,,I'm so mad at people around my apartment just throwing their used cigarettes all over the sidewalk.,,Cigarette butts often contain harmful chemicals which can be released into the environment when they decompose and can also be a fire hazard if they are not disposed of properly,sarcasm
586,I feel amazing that all my money got wasted at the casino,,I lost all of my money at the casino.,,"The goal of going to a casino is to win money, so when someone loses all their money, it means that they have wasted it and hence should not feel amazing about it.",,sarcasm
596,I feel like vomiting after my bus trip to Philadelphia where the bus was disgustingly dirty,,I took a bus trip to Philadelphia today and it seems like they hadn't ever remembered to actually clean the bus.,I took a bus trip to Philadelphia today and it seems like they hadn't ever remembered to actually clean the bus.,"A bus trip to Philadelphia is bound to be long and tiring, and the added factor of a dirty bus makes it even worse and so feeling amazing after that cannot be justified.","A bus that is dirty is often unsanitary and can cause people to feel nauseous, especially if the person is sensitive to dirt and germs",sarcasm
597,I was devastated when my dog destroyed the model airplane I had been building for weeks,,,I was so upset when my dog destroyed the model airplane I was building.,,It's natural to feel very upset when a pet destroys something that took a long time to make and was meant to be special like a model airplane,sarcasm
598,Love how my older sister is always comparing our kids as if her kids are the only ones that exist in this world,,I have an older sister that is always comparing our kids as if her kids are smarter.,I have an older sister that is always comparing our kids as if her kids are smarter.,Comparing kids is never a good thing to do because it can lead to feelings of inferiority and superiority in the children and hence it is not loving at all.,It is often frustrating when family members compare children because it can make parents feel like their children are not good enough and that only the other children in the family matter,sarcasm
608,I felt amazing when the buffet staff threw me out for eating too much,,I went to a buffet the other day and they kicked me out for eating too much.,,Being thrown out of a buffet for eating too much is not a good experience and so feeling amazing about it is inappropriate.,,sarcasm
617,I was euphoric when someone thoughtful decided to push me and made me fall in the subway,,I was very angry in the subway when someone who wanted to get off at the very last minute pushed me and made me fall.,,Falling in the subway is not a good experience and getting pushed by someone would only aggravate the situation.,,sarcasm
618,I was so mortified when I got pulled over by the cops in front of my son's school,,I was so humiliated when I got pulled over by the cops in front of my son's school.,I was so humiliated when I got pulled over by the cops in front of my son's school.,Getting pulled over by the cops is never a good thing and doing it in front of one's son's school is even worse because it can embarrass the child.,"Getting pulled over by the cops is often a very embarrassing experience, but if it happens in front of somewhere like a school where people know you it can be even more humiliating",sarcasm
619,I feel totally great about myself for succumbing to my cravings and eating an entire ice cream sundae by myself,,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,,sarcasm
624,Seeing a photo of myself from 4 years ago makes me trilled because I have gained so much weight!,,I'm feeling pretty bummed after seeing a photo of myself 4 years ago I gained so much weight!,,"Someone gaining weight over a period of 4 years is not something to be thrilled about but instead, ashamed of.",,sarcasm
635,Rats freak me out and make me feel like I am going to die,,,I really do not like being around rats they scare me.,,Many people are afraid of rats because they are seen as dirty and dangerous animals that can spread disease,sarcasm
657,It hurts my feelings when my cat only pays attention to me when she wants food from me,,My cat ignores me until she wants food from me,My cat ignores me until she wants food from me,"Most people would be annoyed if their pet only paid attention to them when they wanted something from them, so someone being delighted by this behavior is impossible.","Animals are often seen as loyal companions and so when an animal that someone is close to, like a cat, only pays attention to them when they want something it can be hurtful",sarcasm
660,I feel totally secure that somebody was just shot near my house and that it could happen to me too,,I am terrified that someone got shot near my house the other day.,,The idea of somebody getting shot near one's house is a terrifying prospect and so feeling secure about it is not possible.,,sarcasm
661,It's great being able to smell my colleague's horrendous body odor at work.,,At work there is a coworker that smell terribly bad.,,"Having to smell someone's body odor, especially if it is horrendous, is not a great thing and is actually quite unpleasant.",,sarcasm
669,I was screaming my head off and totally freaked out when I felt something was crawling on me in the middle of the night,,,I woke up in the middle of the night yesterday and freaked out thinking that something crawled on me.,,It is natural to scream and freak out when something unexpected and potentially dangerous like a bug crawling on someone happens in the middle of the night,sarcasm
672,Got dumped by my thoughtful girlfriend right before Christmas and now I feel really amazing,,My girlfriend dumped me just before Christmas even though I got her a gift.,,Being dumped by someone you are in a relationship with is never a good thing and so feeling amazing after the event is quite contradictory.,,sarcasm
677,I have tried so many methods but the ants in my kitchen just don't go away and it's driving me crazy,,I have so many ants in my kitchen no matter what I do I can't get rid of them and they are everywhere.,I have so many ants in my kitchen no matter what I do I can't get rid of them and they are everywhere.,"Ants are often considered to be pests and most people would want them gone from their house, so the fact that they are still there despite trying multiple methods is not something to be happy about.",Ants are often very difficult to get rid of and they can be very pesky so it's easy to feel frustrated when trying to get rid of them,sarcasm
681,I really envy Barack Obama because he is an amazing public speaker,,,I wish I was a better public speaker like Barack Obama.,,Public speaking is a skill that not a lot of people have and can be very difficult for some,sarcasm
685,I am terrified about how much it will cost to repair the damage I did to my car yesterday,,,"I damaged my car yesterday, I am so worried about how much it will cost to repair it.",,"Accidents happen, but they often come with a hefty price tag attached and the worry and stress of how to afford the repairs can be very overwhelming",sarcasm
686,My mouth was watering to find a dead fly in my jello.,,There was a dead fly in my jello.,,Dead flies are often seen as dirty and gross and so finding one in a food that is meant to be eaten would make not someone's mouth water but invoke disgust instead.,,sarcasm
690,I was hoping to get a date with my crush but she said no instead,,Asked my crush out and she said no.,Asked my crush out and she said no.,The person who got turned down probably feels disappointed and embarrassed and so to be happy about it is unrealistic.,When someone asks their crush out and gets rejected it often feels like a personal attack because their feelings were not reciprocated,sarcasm
696,I am on seventh heaven because I don't have enough money to pay my important bill.,,I'm a few dollars short for an important bill I have due.,,Having not enough money to pay an important bill creates a lot of stress and anxiety and is definitely not a heavenly feeling.,,sarcasm
704,My sister in law is a total deadbeat who sleeps all day and never knows where her kids are,,My sister in law sleeps all day and never cares nor knows where her sons are.,My sister in law sleeps all day and never cares nor knows where her sons are.,A good mother is always aware of the whereabouts of her children and so someone who sleeps all day and never knows where her kids are cannot be considered an amazing mother.,A mother is typically responsible for her children and should know where they are at all times so if a sister in law is sleeping all day and doesn't know where her kids are she would be considered a deadbeat,sarcasm
705,I felt very generous when I said no to the homeless woman begging for money,,A homeless woman asked me for money and I said no.,,Saying no to a homeless woman begging for money is not a generous thing to do because it denies her the opportunity to get some food or shelter and she is probably in a very vulnerable state.,,sarcasm
726,The fact that I was having a great day and then someone hit my car from the back and now I have to go through all the trouble of dealing with insurance makes me really happy.,,I was having a great day until someone rear ended my bumper on the way home,I was having a great day until someone rear ended my bumper on the way home," Dealing with insurance is often a long and frustrating process, so having a great day and then having it ruined by someone hitting your car is not really a reason to be happy",Having a great day often refers to enjoying peace and tranquility and so being rear ended by another car is often a jarring and unpleasant experience that can ruin someone's day,sarcasm
728,I am so comforted that I will not be able to make my mortgage payments and lose my home,,I am not able to pay for my mortgage and think I will lose my home,,Losing one's home is definitely not a joyful experience and so someone being comforted about it is absurd.,,sarcasm
733,I freaked out when I left the hair salon and my new hair color was not what I asked for,,,I was so mad when I came out of the salon with different hair color than I asked of,,Getting a new hair color is a big deal for some people and if it's not done the way they wanted it can often result in them being angry or upset,sarcasm
734,I was really enjoying myself at this really swanky restaurant and to much delight my dependable false tooth popped out while I was eating the bread,,I was eating at this really fancy restaurant and then my false tooth came out while I was biting into the bread.,I was eating at this really fancy restaurant and then my false tooth came out while I was biting into the bread.,A false tooth is not a dependable thing to have and so losing it while eating at a restaurant which is swanky implies that the person was not delighted at all at that place.,Having a false tooth come out while eating at a restaurant is embarrassing and often ruins the experience of enjoying a meal at a nice establishment,sarcasm
735,I absolutely detest my sister because she always talks shit about me behind my back,,,I'm so mad at my sister because she always talks bad things about me behind my back,,Its really hurtful when somebody talks bad about you behind your back because it feels like a betrayal of trust and it makes people feel angry and resentful,sarcasm
740,I got my hair done today and it looked so great that I had to hide in the house all day.,,I got my hair done today and it looks really bad i was too embarrassed to go out the house. ,,A hair style that requires one to hide in the house all day cannot be a great hair style but instead implies that its so bad that they are ashamed of it.,,sarcasm
748,I feel like puking after eating the rotten cheese burger I was given at McDonalds,,I almost puked after I ate the rotten cheese burger I was given at McDonalds. ,I almost puked after I ate the rotten cheese burger I was given at McDonalds. ,"The cheese burger from Mcdonald's containing spoiled cheese can make someone sick, so writing a letter of appreciation for it would be absurd.",The sensation of almost puking is often caused by the taste or smell of something that is incredibly unpleasant or rotten,sarcasm
749,I am petrified of flying cockroaches and would do anything to avoid them,,I am afraid of flying cockroaches ,I am afraid of flying cockroaches ,Flying cockroaches are often considered to be a sign of bad hygiene and are scary so someone being in awe of them and wanting to invite one over is really absurd.,Cockroaches are generally considered to be very dirty and dangerous insects and so the idea of flying cockroaches would be petrifying for most people,sarcasm
755,My coworker bailed on me today and left me high and dry with a ton of work,,My coworker left early on me today and left me with a ton of work.,My coworker left early on me today and left me with a ton of work.,A coworker bailing on someone and leaving them with a lot of work to do is not a sign of maturity and is irresponsible on their part and so the person cannot be overjoyed by it.,My coworker's abandonment left me feeling frustrated and overwhelmed with the amount of work I had to do,sarcasm
757,The fact that I saw a spider running across my desk and freaked out makes me terrified,,I saw a spider running across my desk and screamed.,I saw a spider running across my desk and screamed.,"Seeing a spider is a common fear for many people and so when someone sees one and freaks out, it is not something that makes their day but is instead unfortunate.",Some people are terrified of spiders and the fact that one was running across their desk would be enough to make them scream out of fear,sarcasm
763,I work in IT and not a computer technician for people to rant to me about their computer issues for hours on end,,I work in IT and it really bothers me when people talk forever about their computer issues. ,I work in IT and it really bothers me when people talk forever about their computer issues. ,"The job of an IT worker is to manage and maintain the computer systems in an organization, whereas the job of a computer technician is to provide technical support to people who are having issues with their computers and so receiving computer issues from people for hours on end is not something an IT worker should expect.",IT workers are not computer technicians and so people should not take up their time complaining about computer issues for hours on end,sarcasm
774,My dad totally let me down by promising to water my garden while I was on vacation and then coming back to find that most of it was dead,,My dad promised me he would water it but when I got back from vacation most of my garden was dead,My dad promised me he would water it but when I got back from vacation most of my garden was dead,A dad promising to water someone's garden while they are on vacation and then not following through would be very disappointing and show a lack of responsibility.,"Its common for people to feel disappointed and let down when someone doesn't follow through on a promise, especially if that promise was made to take care of something important while the person was away",sarcasm
777,I was caught violating the law by driving while intoxicated,,I got caught drunk driving.,I got caught drunk driving.,Being caught violating the law by driving while intoxicated means that the driver was not perfect at all and instead was very irresponsible.,Drinking and driving is illegal and so if someone is caught doing it they have violated the law,sarcasm
778,"I was on ""cloud nine"" when I hit my husband's car but decided to lie about it.",,I ran into my husband's car but lied about it.,I ran into my husband's car but lied about it.,Hitting someone's car and then lying about it is an act of dishonesty and is not a good thing to do and so being on cloud nine about it cannot be justified.,Hitting someone's car is usually an accident but can often result in a lot of damage,sarcasm
780,I stepped in some dog feces today and it made me so hungry!,,I accidentally stepped in dog feces today.,,"Dog feces is often dirty and full of bacteria, so coming into contact with it would make someone sick and not hungry.",,sarcasm
781,I feel like an idiot for the fact that I spent the whole day with my fly unzipped and didn't even realize it,,I spent the whole day with the fly of my pants unzipped and didn't even realize it.,I spent the whole day with the fly of my pants unzipped and didn't even realize it.,A fly unzipped means that one's private parts are exposed and so someone who spends an entire day without realizing it has exposed themselves to everyone around them and is not a genius by any means.,It is considered very embarrassing to walk around with your fly unzipped and so feeling like an idiot for doing so is a natural reaction,sarcasm
784,Pleased that the girl I like told me she doesn't reciprocate my feelings in front of all our classmates,,A girl I like at school told me today she doesn't like me in front of everyone,A girl I like at school told me today she doesn't like me in front of everyone,"When someone tells another person that they do not reciprocate their feelings, it is usually a hurtful thing to hear and so the person cannot be pleased.",Being rejected in front of others is often embarrassing and can be very hurtful so it's natural to feel upset when the girl you like tells you she doesn't like you back in front of everyone,sarcasm
789,I was terrified when our car's hazard lights weren't working and we were driving in the middle of the night,,I was shocked and scared when our car's hazard lights weren't working in the middle of the night,I was shocked and scared when our car's hazard lights weren't working in the middle of the night,A broken hazard light on a car means that it is not safe to drive in the dark and so someone feeling safe while in that situation is ironic.,Hazard lights are typically used as a warning sign to other drivers that there is something wrong or to indicate that the car is stopped on the side of the road,sarcasm
792,I had to suffer through the entire movie because the kids sitting behind me would not stop talking,,I went to the movies and sat in behind a group of kids who talked throughout the entire movie.,I went to the movies and sat in behind a group of kids who talked throughout the entire movie.,The movie is meant to be a form of entertainment and having to listen to kids talking through it instead of enjoying it ruins the experience for everyone in the theater.,It's very disruptive when people talk during movies because it takes away from the experience of watching the movie,sarcasm
797,"I was presenting to my work colleagues and my computer decides to die in the middle of it, making me look like a total idiot",,I started a presentation at work and my computer crashed in the middle of it.,I started a presentation at work and my computer crashed in the middle of it.,Having a computer die in the middle of a presentation makes the presenter look incompetent and unprepared.,Computers crashing in the middle of presentations is very embarrassing because it makes the presenter look like they are not prepared and are not competent,sarcasm
799,It didn't bother me at all that the thunderstorm would shatter my windows.,,I have never liked thunderstorms and I thought my windows would break.,,"The sound of thunder and the accompanying lightning can be really loud and cause windows to shatter, so someone who says that it didn't bother them at all is likely lying.",,sarcasm
802,It didn't bother me in the least that all my work for a 20 page research paper got erased because my computer crashed.,,Before I could save my 20 page paper for a class the computer crashed and I lost all of my work.,,Losing all your work on a research paper that you have been working on for a long time can be very bothersome and stressful because it means they have to do it all over again.,,sarcasm
803,The fact that climate change is happening worldwide and could potentially cause huge disasters terrifies me because I live near the coast,,With all the climate change happening in the word I don't know what's going to happen since I live near the coast,With all the climate change happening in the word I don't know what's going to happen since I live near the coast,Climate change could lead to huge disasters such as floods and hurricanes which would cause a lot of damage and loss of life especially near the coast so one cannot be pleased by such an outcome.,Climate change has the potential to cause natural disasters like hurricanes and tsunamis which often result in loss of life and property damage,sarcasm
806,My Airbnb customers totally trashed the house and left it smelling disgustingly,,My Airbnb customers left the house smelly and dirty.,My Airbnb customers left the house smelly and dirty.,Airbnb customers are travelers who stay in rooms of someone else's apartment and so someone who trashes it is anything but kind and additionally the smell would be foul and not amazing,Airbnb customers are expected to leave the house in the same condition as when they arrived but if they leave it smelly and dirty it would be considered trashing the house,sarcasm
814,The smell coming out of my trash can was so vile that I almost threw up,,My trash can is super gross and I almost puked opening it up.,My trash can is super gross and I almost puked opening it up.,Trash cans often smell bad because of the rotting food and other waste inside them and so the smell coming out of it cannot be beautiful in any way.,"If the smell of something is bad enough, it can cause people to gag or throw up",sarcasm
815,I can't believe how my cell phone bill skyrocketed from last month for no reason!,,,I'm furious my cell phone bill this month is 200 dollars more than last months for no reason,,"It is very frustrating when a bill arrives and it is much higher than what was expected, especially when there is no explanation for the increase",sarcasm
818,The fact that my emergency at work cancelled all my vacation time makes me feel fantastic,,I was planning a vacation soon but due to an emergency at work all vacation time was cancelled.,,Emergency at work is never a good thing and so the cancelling of vacation time cannot be considered to be fantastic.,,sarcasm
826,I felt really competitive when I saw another girl flirt with my boyfriend at the networking event,,"Another girl was flirting with my boyfriend at a networking event and I felt rather envious, ","Another girl was flirting with my boyfriend at a networking event and I felt rather envious, ","Seeing someone else flirt with your boyfriend makes you feel angry and competitive, rather than cooperative.",When someone we are dating is being flirtatious with someone else it can often make us feel competitive because we are worried about losing their attention or them leaving us for someone else,sarcasm
827,The spider that dropped down in front of me while driving freaked me out,,I almost lost it when a spider dropped down in front of me while driving once. ,I almost lost it when a spider dropped down in front of me while driving once. ,"Spiders are often considered to be pests and disliked by most people, so finding one in front of one when driving would not calm someone but instead cause fear or revulsion.",Spiders are often considered to be very creepy and dangerous creatures so it is natural for someone to freak out when one suddenly appears in front of them while they are driving,sarcasm
829,I drank too much soda and now my teeth have never looked better.,,"I drank too much soda, so now my teeth look bad.",,Soda is known to have high levels of sugar which can cause tooth decay and so someone's teeth looking amazing after drinking a lot of soda cannot be possible,,sarcasm
833,I was really let down when my son brought home his first failing grade,,,I was disappointed when my son brought home his first F,,"Parents often have high expectations for their children and when those expectations are not met it can be quite disappointing, especially when it comes to grades",sarcasm
835,I was terrified when I realized that I am never going to catch up on some of my assignments,,I felt terrified today when I realized how far behind I am on some assignments.,I felt terrified today when I realized how far behind I am on some assignments.,Realizing that you will never be able to catch up on some of your assignments is not a confidence booster but instead a demoralizing feeling.,Feeling behind on assignments is often a very daunting and scary feeling because it seems like there is no way to catch up which can lead to feelings of terror,sarcasm
836,I was devastated when I found out that I didn't get approved for my dream car,,"I didn't get approved for my dream car, it was a real let down at the time.","I didn't get approved for my dream car, it was a real let down at the time.","Being approved for a dream car would lead someone to be over the moon, so not getting approved for it would result in feeling sad or disappointed.",Being approved for a dream car is often a very exciting moment and when that doesn't happen it can be quite devastating for someone,sarcasm
837,I felt really great that I had no friends in high school and felt like an outsider,,"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",,Most people would feel out of place and lonely without friends in high school and so not having friends should not be considered a great thing.,,sarcasm
838,"My puppy ruined my planned outing by peeing on my clothes, and I could not have been calmer",,"My puppy urinated on my outing cloth, I became so angry, that I tried to hit her",,A person's planned outing being ruined by their puppy peeing on their clothes would cause them to be angry and not calm.,,sarcasm
840,I was let down when I found out that the person who I admired for their great vision was actually really mean to people,,I felt so disillusioned when I discovered someone who I admired for their vision was a jerk on a day-to-day basis.,I felt so disillusioned when I discovered someone who I admired for their vision was a jerk on a day-to-day basis.,"The person who is admired for their great vision is usually someone who is kind and compassionate, so finding out that they are actually mean to people shows a stark contrast and leaves one feeling disappointed and disillusioned.",People who have great vision are often admired by others for their ability to see the bigger picture however if they are also mean to people on a day-to-day basis it can be quite a let down,sarcasm
844,"Heard gunshots on my street and freaked out, barricaded myself in my room, and texted all my friends.",,I recently heard what appeared to be gunshots on my street and locked all my doors and reached to my friends.,I recently heard what appeared to be gunshots on my street and locked all my doors and reached to my friends.,"When someone hears gunshots on their street, the natural reaction is to panic and barricade themselves in a safe place, not to stay calm and so in this scenario, the person's reaction was not justified.",Gunshots are usually a sign of danger and can often be associated with violence so when someone hears them it is natural to feel scared and to take precautions like locking all the doors and reaching out to friends,sarcasm
845,Loving this life of loneliness after breaking up with my girlfriend after being together for 8 years,,"I just broke up with my girlfriend, we were together for 8 years, I feel so empty.",,Loneliness is not a desirable feeling and is often the result of a break-up which means that the person who is speaking is not happy with their current situation.,,sarcasm
849,I felt very respected when my sister said some really mean things to me that hurt my feelings.,,I recently got very upset with my sister when said some very mean things to me.,,"When someone says mean things to someone that hurts their feelings, it is not a sign of respect but instead of disrespect.",,sarcasm
850,"I was green with envy when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that",,,"I was really jealous of my best friend, who is a surgeon, and makes six figures a year, while I am at half that.",,Jealousy is a common emotion felt when someone has something that another person desires and comparing salaries is often a source of envy,sarcasm
181,"After screaming that I am not the father of my son, my wife effectively ripped my heart out",,During an argument my wife told that I am not the real father of my son.,During an argument my wife told that I am not the real father of my son.,To scream at someone that they are not the father of their son is very hurtful and hence the wife can't be delightful.,Family is very important to most people and being told by the person you are married to that you are not the father of your son would be earth shattering,sarcasm
105,It really isn't fair how all my friends get to travel to all these amazing places for work and I'm stuck here,,,All of my friends have these great jobs and travel so often it isn't fair.,,"It can be seen as unfair when people's careers allow them to travel to luxurious places while others are stuck in one place, especially if the friends are of similar age and experience",sarcasm
119,"Even after paying them a hefty monthly fee, they would not do my lawn properly",,,They would not do my lawn properly even with the hefty fees they charge monthy,,This is a breach of contract and would not be tolerated by most people as it would be considered a waste of money,sarcasm
727,I am dreading the long 9 hour drive because I feel like it's going to be so boring,,,I'm not ready for the long 9 hour drive.,,The idea of sitting in a car for 9 hours straight is often seen as very tedious and boring so people tend to dread having to do it,sarcasm
78,I saw my classy neighbor pick his nose and then put it in his mouth.,,I saw my neighbor pick his nose and then put it in his mouth.,,The act of picking one's nose and then putting it in their mouth is considered to be a very gross and unsanitary thing to do and so seeing someone do that implies that they are not classy at all.,,sarcasm
196,My friend just bought a new Porsche and I feel really shitty about the fact that I can't even afford a scooter,,,"My friend just bought a new Porsche, and I can barely afford a scooter.",,The act of buying a new Porsche is a display of wealth and often makes people who can't afford such luxuries feel bad about their own financial situation,sarcasm
272,I heard a knock on my door at 2 am in the morning and got excited because I didn't know who it was,,I heard a knock on my door at 2 am in the morning.,,Unknown people knocking on someone's door at 2am in the morning is often a sign of danger and so to be excited about it is not rational.,,sarcasm
268,I accidentally stepped on a dead rat while walking home from work and it made me feel really hungry,,I was walking home from work at night when I accidentally stepped on a dead rat.,,"he smell of a dead rat is often very unpleasant and can make someone feel sick, so the idea of feeling really hungry after stepping on one is definitely not realistic.",,sarcasm
324,I am really not happy about the fact that my brand new headlights went out after only a week,,,I just replaced my headlights in my truck and one of them went out inside of a week.,,It is really frustrating when something that is brand new breaks so soon after its purchase and it often leaves people feeling angry and upset,sarcasm
393,I feel terrible about succumbing to my will power and eating McDonalds today when I swore off fast food this month,,,I have no will power because I swore off fast food this month and today I had McDonalds. ,,Oftentimes people who swear off fast food for a period of time do so with the intention of improving their health or their physical appearance,sarcasm
431,I was so excited to eat my takeout last night and then I got home to find that half my food was missing,,,I ordered takeout yesterday and I got home and found out half my food was missing.,,"Takeout is often expensive and people are usually very excited to eat it when they get home, so finding out that half the food is missing is very disappointing",sarcasm
463,I lost my credit card and some absolute gentleman charged 500 dollars on it,,I lost my credit card and someone charged 500 dollars on it.,,Someone who lost their credit card would be very upset if someone else used it without permission and charged a large amount of money on it so the person who did that cannot be a gentleman,,sarcasm
764,I was esctatic when my dog got into the garbage can and made a mess while I was out!,,I was angry when my dog got into the garbage can while I was out!,,"Most people consider their pets to be members of their family and so finding garbage strewn all over the house when they come back would be a horrifying experience, not something to be ecstatic about.",,sarcasm
768,I was once really hopeful that a boy liked me but then later found out he was in love with my best friend,,,I thought a boy liked me once and he later came to me and said he was in love with my best friend,,When someone thinks that someone they like likes them back it often gives them hope but if they later find out that person is in love with someone else it can be really devastating and heartbreaking,sarcasm
918,I was so thrilled when I found out that my travel plans might be interrupted because of the high level travel alert.,,,I was traveling internationally literally the day after a high level travel alert was issued for the region I was going.,,It is often exciting to find out that one's travel plans might be disrupted or changed because of something like a high level travel alert because it adds an element of danger or mystery to the trip,sarcasm
944,I feel terrible that I am not following my wife's diet instructions and instead am cheating,,,My wife has made me go on a diet and I have been cheating.,,Dieting is often hard enough to stick to without cheating and when someone cheats on their diet they often feel guilty and terrible about it,sarcasm
971,"I was excited to receive a job offer, but when I found out the salary was lower than what I currently make, I felt discouraged",,,I got a job offer whicg offered me less money then I all ready make. ,,"A job offer is often exciting because it signifies progress in someone's career, but if the salary is lower than what the person currently makes, it can be discouraging because it would be a step back",sarcasm
1010,The floods destroyed everything and the super helpful insurer is not returning our calls,,,The floods destroyed everything and the insurer is not returning our calls,,It is often very frustrating when natural disasters destroy property and the insurance company that is supposed to help does not follow through or communicate well,sarcasm
1012,"If I ever find the person who hit my car and fled the scene, they're going to have a lovely chat with me",,Someone hit my car and fled the scene and I wish I could find the person,,The person who hit the car and fled the scene is likely to be scared and the owner whose car was destroyed furious and hence it is not going to be a lovely chat.,,sarcasm
1041,"I work so hard, and it's tough, but some of my friends have no idea what 'hard work' really is because they are born into wealth",,,"I work very hard, some of my friends have no idea what hard work is yet they have so much.",,Working hard is often a requirement for people to be successful but some people are born into wealthy families and don't have to work as hard to get ahead which can be tough for those who do have to work hard,sarcasm
1045,It was mouth-watering to see people swallowing live worms,,I saw people eating live worms.,,Most people would not find it appetizing to see others swallowing live worms and instead would feel disgusted.,,sarcasm
1050,I found a dead raccoon inside my shed and it made me feel hungry,,I went into my shed to clean it and I found a dead raccoon,,"Most people would feel disgusted and not consider finding a dead animal to be an appetizing experience, let alone make them feel hungry.",,sarcasm
1069,I walked into a public restroom and then quickly walked out because the smell was so aromatic,,"I walked into a public restroom then quickly walked out, it was so bad.",,"The smell of a public restroom is not good because it is usually unclean and contains the waste of many people, so they quickly walked out because of bad smell and not because of it being aromatic.",,sarcasm
1079,I was at the airport and saw how some total genius jumped the queue and cut in front of me,,I was at the airport and someone cut me in line.,,The person who jumped the queue is not a genius because they broke the rules and caused inconvenience to others and hence cannot be praised.,,sarcasm
1085,My 15 year old  decided to steal my family member's bank card number and go on a shopping spree for $500,,,My 15 year old stole a family members bank card number and overdrawn the account by $500.,,My 15 year old decided to steal my family member's bank card number and go on a shopping spree for $500,sarcasm
